City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
258,bozoum,24,CF,1548455659,37,6.31,16.38,71.56,7.87
259,nowy tomysl,90,PL,1548453600,85,52.32,16.13,24.8,3.36
260,ostrovnoy,8,RU,1548455660,92,68.05,39.51,0.82,7.2
261,salalah,20,OM,1548453000,68,17.01,54.1,69.8,4.7
262,aljezur,0,PT,1548455660,100,37.31,-8.8,55.85,3.96
263,hovd,0,NO,1548453000,63,63.83,10.7,28.4,16.11
264,khor,32,RU,1548455661,73,47.88,134.96,-2.56,4.41
265,flinders,0,AU,1548453600,51,-34.58,150.85,86.0,6.93
266,la ronge,75,CA,1548453600,76,55.1,-105.3,-9.41,5.82
267,lyubashivka,80,UA,1548455661,96,47.84,30.26,25.61,6.76
268,san carlos de bariloche,20,AR,1548453600,42,-41.13,-71.31,62.6,32.21
269,rimoc,56,HU,1548455662,89,48.04,19.53,21.34,2.73
270,muisne,20,EC,1548453600,78,0.61,-80.02,82.4,10.29
271,manacapuru,20,BR,1548453600,88,-3.3,-60.62,80.6,4.07
272,santiago,0,CL,1548453600,35,-33.44,-70.65,89.6,9.17
273,mahajanga,40,MG,1548453600,83,-15.72,46.32,82.4,6.93
274,dullewala,0,PK,1548455663,85,31.84,71.44,37.72,4.74
275,jawa,0,NG,1548455663,47,12.81,11.04,68.32,3.62
276,ormara,48,PK,1548455664,97,25.21,64.64,65.17,5.64
277,cotonou,40,BJ,1548453600,83,6.37,2.43,84.2,12.75
278,curup,68,ID,1548455664,97,-3.47,102.53,70.79,2.28
279,agadez,8,NE,1548455664,39,16.97,7.99,51.35,6.76
280,chokurdakh,20,RU,1548455664,0,70.62,147.9,-37.03,3.18
281,quang ngai,100,VN,1548455665,99,15.12,108.8,60.71,1.72
282,callaway,1,US,1548454560,68,46.98,-95.91,-2.93,5.75
283,kaseda,40,JP,1548453600,51,31.42,130.32,42.8,17.22
284,sturgeon falls,75,CA,1548453600,77,46.36,-79.93,1.4,17.22
285,chandbali,0,IN,1548455666,100,20.77,86.74,65.66,6.08
286,sumber,68,ID,1548455666,100,-6.76,108.48,78.76,13.8
287,flin flon,75,CA,1548453600,68,54.77,-101.88,-14.81,2.24
288,bambanglipuro,44,ID,1548455666,96,-7.95,110.28,73.58,4.41
289,tarata,40,PE,1548453600,60,-17.47,-70.03,73.4,9.17
290,tak bai,75,TH,1548453600,94,6.26,102.05,68.0,1.12
291,leningradskiy,88,RU,1548455667,96,69.38,178.42,-8.1,12.68
292,alyangula,32,AU,1548453600,78,-13.85,136.42,80.6,11.01
293,puerto del rosario,75,ES,1548453600,77,28.5,-13.86,64.4,6.93
294,pacific grove,1,US,1548453600,47,36.62,-121.92,69.08,4.7
295,liwale,24,TZ,1548455668,91,-9.8,37.92,71.78,3.96
296,sao felix do xingu,56,BR,1548455668,100,-6.64,-51.99,71.74,1.72
297,at-bashi,8,KG,1548455669,58,41.17,75.81,-17.68,2.39
298,mayumba,92,GA,1548455669,100,-3.44,10.65,76.37,6.42
299,kuruman,0,ZA,1548455669,17,-27.46,23.43,70.66,8.66
300,stavrovo,76,RU,1548455669,78,56.13,40.01,-4.0,5.64
301,una,40,BR,1548450000,74,-15.29,-39.07,84.2,9.17
302,ambilobe,92,MG,1548455670,97,-13.19,49.05,75.56,4.07
303,pevek,48,RU,1548455670,100,69.7,170.27,-18.49,4.18
304,thinadhoo,8,MV,1548455670,100,0.53,72.93,80.74,4.74
305,mount gambier,90,AU,1548453600,77,-37.83,140.78,64.4,6.93
306,halifax,20,CA,1548453600,64,44.65,-63.58,33.8,9.17
307,beringovskiy,88,RU,1548455671,90,63.05,179.32,5.45,24.76
308,broome,68,GB,1548455160,93,52.47,1.45,48.2,13.87
309,beian,0,NO,1548453000,63,63.66,9.57,28.4,33.33
310,muros,20,ES,1548453600,87,42.77,-9.06,46.4,4.7
311,saint-joseph,0,FR,1548453600,74,43.56,6.97,42.8,4.7
312,acapulco,75,MX,1548452940,70,16.86,-99.88,84.2,6.93
313,kerema,48,PG,1548455672,50,-7.96,145.78,89.6,2.06
314,tete,75,MZ,1548453600,94,-16.16,33.59,77.0,6.93
315,arnprior,75,CA,1548453600,44,45.44,-76.36,17.6,14.99
316,namatanai,88,PG,1548455673,100,-3.66,152.44,83.21,8.21
317,san patricio,0,PY,1548455673,70,-26.98,-56.83,85.19,3.62
318,new norfolk,75,AU,1548453600,48,-42.78,147.06,64.4,9.17
319,bonthe,8,SL,1548455674,80,7.53,-12.5,80.29,5.64
320,zhuhai,0,CN,1548453600,32,40.71,112.04,8.6,6.71
321,ilulissat,12,GL,1548453000,44,69.22,-51.1,19.4,4.7
322,hobyo,80,SO,1548455674,84,5.35,48.53,76.42,19.73
323,astana,90,KZ,1548453600,85,51.13,71.43,19.4,20.13
324,tuatapere,64,NZ,1548455675,74,-46.13,167.69,66.16,23.87
325,novikovo,0,UA,1548455675,100,45.05,34.56,30.38,2.17
326,medyn,80,RU,1548453600,92,54.97,35.86,6.8,8.95
327,kolobrzeg,76,PL,1548455675,99,54.18,15.58,18.37,8.66
328,kargasok,76,RU,1548455676,74,59.06,80.87,5.99,3.62
329,lagoa,0,PT,1548453600,87,37.14,-8.45,55.4,3.36
330,maniitsoq,56,GL,1548455676,100,65.42,-52.9,16.52,10.67
331,ugoofaaru,44,MV,1548455676,100,5.67,73.0,80.47,8.77
332,torbat-e jam,8,IR,1548455677,71,35.24,60.63,21.79,1.95
333,lavrentiya,76,RU,1548455677,100,65.58,-170.99,12.61,16.71
334,victor harbor,75,AU,1548453600,64,-35.55,138.62,69.8,13.87
335,nabire,24,ID,1548455677,81,-3.36,135.5,77.59,2.39
336,teya,90,MX,1548452520,57,21.05,-89.07,75.2,5.82
337,umm lajj,80,SA,1548455678,100,25.02,37.27,66.47,4.29
338,chifeng,0,CN,1548455678,57,42.27,118.96,4.42,2.39
339,tessalit,0,ML,1548455678,45,20.2,1.01,43.57,4.41
340,morristown,1,US,1548454500,43,36.21,-83.29,39.2,4.7
341,bethel,90,US,1548453360,100,60.79,-161.76,33.08,39.15
342,umkomaas,92,ZA,1548455680,99,-30.21,30.8,63.59,2.51
343,varzea paulista,40,BR,1548453600,82,-23.21,-46.83,66.2,14.99
344,san mateo,1,US,1548454500,51,37.54,-122.31,66.2,4.63
345,mitsamiouli,20,KM,1548453600,83,-11.38,43.28,77.0,4.7
346,eugene,75,US,1548453360,76,44.05,-123.1,50.0,6.93
347,avenal,20,US,1548453360,57,36.0,-120.13,66.02,4.7
348,posse,88,BR,1548455681,91,-14.08,-46.36,69.71,2.84
349,nivala,80,FI,1548455681,80,63.93,24.96,4.1,6.42
350,guiratinga,44,BR,1548455682,86,-16.35,-53.76,76.19,6.98
351,hun,75,BE,1548454800,93,50.34,4.87,39.2,13.87
352,makkaveyevo,32,RU,1548453600,75,51.75,113.95,-14.81,1.95
353,port arthur,1,US,1548454500,32,29.9,-93.93,60.44,5.82
354,kenai,75,US,1548453360,75,60.55,-151.26,37.04,20.8
355,rennes,90,FR,1548453600,93,48.11,-1.68,48.2,5.82
356,imbituba,40,BR,1548453600,78,-28.24,-48.67,80.6,8.05
357,hudiksvall,88,SE,1548455683,100,61.73,17.1,23.14,7.65
358,lorengau,88,PG,1548455683,100,-2.02,147.27,81.05,8.43
359,randfontein,32,ZA,1548453600,88,-26.17,27.69,68.0,1.12
360,ladario,0,PT,1548455684,78,40.7,-7.74,32.09,2.62
361,sao filipe,92,CV,1548455684,99,14.9,-24.5,71.33,10.78
362,itupiranga,40,BR,1548453600,88,-5.13,-49.33,82.4,4.7
363,lukovetskiy,75,RU,1548453600,68,64.29,41.92,-18.41,2.24
364,grand-lahou,44,CI,1548455685,94,5.24,-5.0,76.24,4.63
365,vaitape,68,PF,1548455685,100,-16.52,-151.75,81.91,7.76
366,krasnokamensk,0,RU,1548455685,50,50.1,118.04,-10.39,3.18
367,ronne,90,FR,1548453600,100,48.45,0.83,44.6,5.82
368,yar-sale,36,RU,1548455685,87,66.83,70.83,-19.75,3.29
369,oceanside,1,US,1548454500,13,33.2,-117.38,78.08,6.93
